program_id	author_id	type	post_id	comment_id	publish_date	terms
kbs2_princess	kelleahyejin	POST	pym015a-yfrj4		2011-08-18	으아 오늘 영어학원 exclamation 몹쓸 학원때문 exclamation exclamation exclamation 공주 남자 분 보 생기 exclamation 
kbs2_princess	chococat000	POST	pym01ba-_hgmp		2011-08-19	잇힝 방금생각난건데 공주의남자 보 거슬리던게 다크승유 다크승유의 산발 머리 왜풀어놓은것 왜풀어놓은것일까 question 다른사람들보면거의다묶엇던데 
kbs2_princess	loveyou9742	POST	pym04w2-shaw		2011-08-19	공주의남자 공주의남자 회 다시보기 고화질 네이버블로그 토깽이의뷰티월드 
kbs2_princess	nhy0312nhy	POST	pym05nd-_marw		2011-08-18	공주의남자 박시후 문채원의정체알게 미미콩 문채원 문채원의 채 게된 시후 오늘 방송 후편 정말 기대 기대 네이버블로그 미미콩 
kbs2_princess	cofvh	POST	pym06sa-_sldt		2011-08-20	지금 공주 남자 남 재방 재방하는데 완전 보고싶다아 엄 나 나 보여주 않 exclamation 나도 나 나 보고싶다 내 그런거 관심 많은거 알 그러지 exclamation exclamation 엄마 미워 exclamation 
kbs2_princess	ugkymj	POST	pym07qr-5xh8k		2011-08-18	지금 우리집 공주 남자 남 보 smile 우리 오늘 막방인줄알고 
kbs2_princess	tnwlswhddjr	POST	pym07rc-y5698		2011-08-18	난 나 날 지금 아이스커피 함 공주 남자시청중 smile 흐으 윤디 모하닝 
kbs2_princess	yanghm029	POST	pym07_q-btoi		2011-08-18	내 드뎌 이걸 찾 큰걸 큰걸로 먹지 smile 크핳핳 크핳핳하 smile 배경 우리집 거실장과티비 smile 난 나 날 공주 남자보 남자보는 중 smile 
kbs2_princess	qkrwnal94	POST	pym0blq-5tueu		2011-08-18	공주의남자 재밋엉 cry 박시후 멋지 cry 인생 낙이생겻네 cry smile 동원님 동원님도 어서 돌아오 exclamation cry 
kbs2_princess	zlekfl0308	POST	pym0bt1-_q9oh		2011-08-19	공주의남자 빨 보고프닷 닥본사 못 한것 한것이 아쉬울 exclamation smile 
kbs2_princess	chococat000	POST	pym0bto-_hgmp		2011-08-19	난 나 날 씐이 아주 기쁘 재회 아니 걍 궁금한거 묻는거 잇힝 근데 이런거 smile ㄷㄷㄷ존 smile 나 나 smile 무섭 exclamation ㄷㄷㄷㄷ이외엿음 저러 저러다 신면 신면이 또 나타날듯 smile 공주의남자 회 완죤 재미있었어 exclamation 
kbs2_princess	insos02	POST	pym0cgt-_8lnw		2011-08-19	공주 남자 남 다시보기 회 공주 남자 남 다시보기 회 
kbs2_princess	liarcity	POST	pym0du5-_3ti4		2011-08-20	그렇 로맨스 좋아하 편이 편 아니 공주 남자 남 넘 재미 내용 그렇 제 제대 보 않 내용 아련 내 울 싶 하 쉼팜 
kbs2_princess	s8411230	POST	pym0el6-yy97r		2011-08-18	야근 이란 여인 향기 가 가 재방송 되 exclamation 아 공주 남자 남 가 가 재방송 되 exclamation 
kbs2_princess	ghdudrnfu	POST	pym0fz7-t88k		2011-08-20	공주 남자 남 정말 잘봤어요 exclamation 언니 멋지 exclamation exclamation 
kbs2_princess	ilsaing79	POST	pym0hmf-_pevq		2011-08-19	공주의남자 회 전회 달달 달달한 승유 승유를 싸악 잊게 잊게하 잊게하는 시후랑 시후랑의 연기 와우 smile 올해 kbs 연기대상 기대 되 smile 공남승유 화이팅 exclamation 
kbs2_princess	leeger92	POST	pym0htf-pvzg		2011-08-18	코에오 코로시테 나이타 츠나이타 테노 아 아이 츠메타 츠메타이 나미 나미다 츠타우 아빠 오기 오 전 무백 재방 재방이 찾아봐야징 진주네 엄마 인이 짐작 하 하 있 진짤줄 진짤줄은 몰라써 smile 근데 오늘 엄마 늦 오 공주의남자 봐야겠다 
kbs2_princess	leeger92	POST	pym0hzc-pvzg		2011-08-18	계백 무사백동수 공주 남자 남 보스 지키 넌 널 내 반 애정만만세 순위 순이랍니당 드라마 월화 월화나 수목드라마 인기 많 그것 시쯤 나오 제일루 exclamation 
kbs2_princess	didrb1028	POST	pym0inu-yuutd		2011-08-20	광개토대왕 목소리 크 계백 계백은 똥폼 다잡 백동수 백동수는 시끄럽 공주 남 남자 지지 궁상 다떨고 근데 재밋네잉 smile 
kbs2_princess	love-1	POST	pym0iob-5kuih		2011-08-19	공주 남자 남 박시후 독기 살기 살 배신감 복수심 극 달 승유 승유의 선택 question 재경일보 뉴스스크랩 
kbs2_princess	gkrry2011	POST	pym0irb-5ewmg		2011-08-18	공주 남자 남 네이버블로그 진경이의일기장 
kbs2_princess	theend1123	POST	pym0jlk-co_d		2011-08-19	공주의남자 박시후 원수 딸 따 문채원 목졸라 본격 로미오 로미오와 줄리엣 네이버블로그 투잡으로돈버는꽃 투잡으로돈버는꽃나 투잡으로돈버는꽃나나 love 
kbs2_princess	bluemint	POST	pym0k2m-bd9p		2011-08-19	아 공주의남자 언제 언제나 내 내 심금 울리 울리는구 어뜨카 어뜨카니 김승유 cry 점점 비극 치닫고 치닫고있어 그래봤자 결말 해피엔딩 question 
kbs2_princess	mcw1113	POST	pym0kcy-_w1f9		2011-08-18	문채원 목 칼 들어오 눈 누 부릅뜨 독기 열연 공 점입가경 mydaily 문채원 세령 공주의남자 세령 세령아 cry 
kbs2_princess	dudhkd0408	POST	pym0m4l-_pc05		2011-08-19	앜 넌내반 넌내반이 끝나 끝나 cry 어제 완존 헤어지 줄 주 알 깜놀 아 슬프 난 나 날 이제 멀 보고 보 보 사 question 공주 남자 재밌 재밌나 보스 지켜라 지켜라가 재밌 재밌나 question question question 
kbs2_princess	yeana30	POST	pym0mcv-500fo		2011-08-19	보스 지키 화 호 공주 남자 남 화 호 넌 널 내 반 마직막회 수목드라마 무료 다시보기 네이버블로그 재택 부업 투잡 시크릿과함께하는인생라이프 
kbs2_princess	lenpod	POST	pym0me0-_hsa4		2011-08-19	공주 남자 남 화 호 포스팅 네이버블로그 모모의블로그 
kbs2_princess	theend1123	POST	pym0pfh-co_d		2011-08-19	공주의남자 박시후 원수 딸 따 문채원 목졸라 본격 로미오 로미오와 줄리엣 네이버블로그 투잡으로돈버는꽃 투잡으로돈버는꽃나 투잡으로돈버는꽃나나 love 
kbs2_princess	chococat000	POST	pym0phg-_hgmp		2011-08-19	나방금 잠안와서 공주의남자 메이킹 봣음 smile 멋져잉 love smile ㅋ ㅋ아 시 어케 어케함 question exclamation 
kbs2_princess	tmdfl4775	POST	pym0qbk-5h2jq		2011-08-19	어제 공주 남자 마지막 박시후 박시후가 여자 목 졸라가지 깜놀 ㄷㄷㄷ 눈 무섭 목 조르 조 같 왠지 놀 놀라 smile 
kbs2_princess	dpwngud	POST	pym0tbb-5izyq		2011-08-19	시티헌터끝나고뭔낙으로사나햇는데넌내게반했어가눈에들어와서열심히시청했지만어제끝났다능 cry 하지만공주의남자도슬슬눈에들어오기시작 exclamation 푸하하하하하 
kbs2_princess	buks2	POST	pym0u4k-_3cex		2011-08-22	공주의남자 공주의남자 네이버블로그 부업으로적당히용돈버는블로그 
kbs2_princess	god911213	POST	pym0uj2-5yu8h		2011-08-19	한국드라마 공주의남자 해외영화 로미오 줄리엣 공통점 심한반대 집안 싸움 싸우 이루 슬픔 슬프 금지 사랑 사 그리 죽음과이 cry cry 
kbs2_princess	seung2801	POST	pym0ykr-_iyvz		2011-08-18	공주의남자 화 보 네이버블로그 행복하루 seung 아이유미안 
kbs2_princess	dlauddms0203	POST	pym0zd4-yz_m5		2011-08-19	공주의남자 김승유 무서운사람 변 cry 
